text_number,language,url,timestamp,source,question_score
284,en,https://apple.stackexchange.com/questions/1118,2023/3/29,stackexchange,5
285,en,https://apple.stackexchange.com/questions/1122,2023/3/29,stackexchange,3
286,en,https://apple.stackexchange.com/questions/1125,2023/3/29,stackexchange,6
287,en,https://apple.stackexchange.com/questions/1127,2023/3/29,stackexchange,2
288,en,https://apple.stackexchange.com/questions/1132,2023/3/29,stackexchange,2
289,en,https://apple.stackexchange.com/questions/1135,2023/3/29,stackexchange,3
290,en,https://apple.stackexchange.com/questions/1136,2023/3/29,stackexchange,35
291,en,https://apple.stackexchange.com/questions/1138,2023/3/29,stackexchange,7
292,en,https://apple.stackexchange.com/questions/1141,2023/3/29,stackexchange,10
293,en,https://apple.stackexchange.com/questions/1150,2023/3/29,stackexchange,19
294,en,https://apple.stackexchange.com/questions/1152,2023/3/29,stackexchange,6
295,en,https://apple.stackexchange.com/questions/1160,2023/3/29,stackexchange,7
296,en,https://apple.stackexchange.com/questions/1162,2023/3/29,stackexchange,6
297,en,https://apple.stackexchange.com/questions/1163,2023/3/29,stackexchange,5
298,en,https://apple.stackexchange.com/questions/1167,2023/3/29,stackexchange,5
299,en,https://apple.stackexchange.com/questions/1171,2023/3/29,stackexchange,18
300,en,https://apple.stackexchange.com/questions/1174,2023/3/29,stackexchange,11
301,en,https://apple.stackexchange.com/questions/1183,2023/3/29,stackexchange,3
302,en,https://apple.stackexchange.com/questions/1186,2023/3/29,stackexchange,2
303,en,https://apple.stackexchange.com/questions/1187,2023/3/29,stackexchange,1
304,en,https://apple.stackexchange.com/questions/1190,2023/3/29,stackexchange,2
305,en,https://apple.stackexchange.com/questions/1191,2023/3/29,stackexchange,6
306,en,https://apple.stackexchange.com/questions/1192,2023/3/29,stackexchange,3
307,en,https://apple.stackexchange.com/questions/1199,2023/3/29,stackexchange,13
308,en,https://apple.stackexchange.com/questions/1201,2023/3/29,stackexchange,17
309,en,https://apple.stackexchange.com/questions/1209,2023/3/29,stackexchange,5
310,en,https://apple.stackexchange.com/questions/1211,2023/3/29,stackexchange,13
311,en,https://apple.stackexchange.com/questions/1218,2023/3/29,stackexchange,1
312,en,https://apple.stackexchange.com/questions/1221,2023/3/29,stackexchange,1
313,en,https://apple.stackexchange.com/questions/1224,2023/3/29,stackexchange,1
314,en,https://apple.stackexchange.com/questions/1225,2023/3/29,stackexchange,7
